Latitude,Longitude,DepthOfSoil,TotalUnitWeight,N60,FinesContent,PeakGroundAcceleration,GoundWaterLevel,SoilType,ModulusOfElasticity
15.331346,120.636432,1.5,19,10,23.69,0.36,3,SM,20
15.331116,120.636551,1.5,20,10,52.41,0.36,3,ML,32.5
15.331107,120.636745,1.5,20,11,29.57,0.36,3,SM,32.5
15.331209,120.636648,1.5,20,18,31.6,0.36,3,SM,32.5
15.3504,120.4602,1.5,20,12,30.77,0.44,8.5,SM,32.5
15.35065,120.4598,1.5,20,18,32.63,0.44,8.5,SM,32.5
15.35075,120.4596,1.5,21,13,30.6,0.44,8.5,SM,32.5
15.35074,120.4597,1.5,20,18,33.75,0.44,8.5,SM,13.5
15.35469,120.4464,1.5,20,6,28.11,0.48,4,SM,4
15.3578,120.5308,1.5,20,5,84.31,0.4,7.5,CH,27.5
15.35779,120.5305,1.5,20,5,86.17,0.4,7.5,CH,10.5
15.35771,120.5304,1.5,20,7,85.45,0.4,7.5,CH,10.5
15.3577,120.5303,1.5,20,6,82.12,0.4,7.5,CH,10.5
15.34832,120.4719,1.5,19,12,2.9,0.44,5,SP,32.5
15.34792,120.4723,1.5,20,13,3.3,0.44,3,SP,32.5
15.34761,120.4729,1.5,21,14,2.9,0.44,4.5,SP,13.5
15.37782,120.4679,1.5,19.7,7,19.85,0.45,4,SM,13.5
15.33255,120.5912,1.5,21,22,4.27,0.4,3,SP,32.5
15.33235,120.5912,1.5,20,20,3.94,0.4,3,SP,32.5
15.32917,120.54,1.5,20,17,5.83,0.4,3,SP,32.5
15.33271,120.5912,1.5,20,18,2.25,0.4,3,SP,32.5
15.404695,120.517583,1.5,21.7,25,3.87,0.4,3,SP,32.5
15.337582,120.438447,1.5,21.4,11,44.3,0.45,100,SP,32.5
15.338506,120.439017,1.5,21.4,21,4.36,0.45,0.5,SP,13.5
15.377932,120.46811,1.5,21.6,6,4.35,0.41,3,SP,13.5
15.376099,120.465189,1.5,21.8,10,4.9,0.41,3,SP,13.5
15.403506,120.535484,1.5,20,10,29.08,0.4,1,SM,13.5
15.401833,120.537011,1.5,20,10,33.79,0.4,1,SM,13.5
15.35027778,120.5733333,1.5,21,15,55.43,0.4,100,MH,27.5
15.324878,120.421894,1.5,20,23,26.4,0.03,3,SM,32.5
15.409628,120.531149,1.5,20,17,27.6,0.4,0.6,SM,32.5
15.408638,120.533869,1.5,20,14,26.8,0.4,0.6,SM,32.5
15.406295,120.536085,1.5,19,8,4.07,0.4,1,SP,13.5
15.37835,120.50901,1.5,21,25,53.21,0.4,3,CL,100
15.378394,120.5089,1.5,21,27,64.38,0.4,2.8,CL,16
15.378457,120.509039,1.5,21,23,91.06,0.4,3.2,CL,16
15.378411,120.509217,1.5,21,26,67.21,0.4,2.5,CL,16
15.378467,120.509242,1.5,21,24,93.5,0.4,2.7,CL,16
15.346585,120.591898,1.5,20,15,33,0.36,8.6,SM,32.5
15.346589,120.59203,1.5,20,18,16,0.36,9,SM,32.5
15.35940626,120.536204,1.5,19.5,6,58.67,0.4,100,ML,10.5
15.35942178,120.5361342,1.5,20,9,58.5,0.4,100,ML,20
15.35945799,120.536043,1.5,20,8,57.71,0.4,100,ML,20
15.368641,120.491331,1.5,18,1,66.8,0.45,7.5,MH,3.75
15.368641,120.490274,1.5,18,1,66.01,0.45,7.5,MH,3.75
15.368729,120.490337,1.5,18,1,65.97,0.45,7.5,MH,3.75
15.368404,120.491331,1.5,18,1,64.68,0.45,7.5,MH,3.75
15.367389,120.491501,1.5,18,1,67.05,0.45,7.5,MH,3.75
15.361412,120.444146,1.5,20,18,4,0.47,1.5,SP,32.5
15.362605,120.444932,1.5,20,18,5,0.47,1.5,SP,32.5
15.400328,120.538445,1.5,20,22,3,0.4,2,SP,32.5
15.327305,120.424012,1.5,20,16,25.5,0.45,0.61,SM,32.5
15.328152,120.424192,1.5,20,16,23.6,0.45,0.61,SM,32.5
15.32419,120.423641,1.5,20,19,27.3,0.45,3,SM,32.5
15.3432561,120.5477321,1.5,21,39,17.67,0.4,4.5,SM,35
15.343333,120.547777,1.5,21,41,20.65,0.4,7,SM,35
15.35897175,120.5291712,1.5,18,1,62.72,0.4,100,MH,3.75
15.35897175,120.5291229,1.5,18,1,54.75,0.4,100,ML,3.75
15.35897692,120.5290693,1.5,18,1,67.05,0.4,100,MH,3.75
15.376099,120.465189,1.5,18,4.5,4.9,0.45,3,SP,4
15.377334,120.466745,1.5,19,6,2.84,0.45,3,SP,13.5
15.616506,120.434783,1.5,23,100,0,0.45,6,Sandstone,6000
15.616441,120.434581,1.5,23,100,0,0.47,6,Sandstone,6000
15.615178,120.438655,1.5,22,22,52,0.4,100,CL,45
15.615603,120.438983,1.5,18,25,43,0.4,100,CM,3.75
15.463753,120.466264,1.5,16,13,88.2,0.4,9.13,SC,1.68
15.463478,120.466264,1.5,17,8,84.9,0.4,4.77,SC,1.68
15.477092,120.572627,1.5,19,56,52,0.42,3,CL,6
15.477114,120.572519,1.5,18,62,54.5,0.42,3.1,CL,4
15.429698,120.637142,1.5,16.67,8,56,0.35,1.3,ML,20
15.48961,120.588291,1.5,21,21,53.79,0.42,4.5,ML,27.5
15.484068,120.618036,1.5,21,35,25.5,0.37,1,SM,35
15.468813,120.653222,1.5,20,10,54.72,0.4,3,ML,20
15.529917,120.593229,1.5,19.3,13,21.1,0.4,1.5,SM,32.5
15.51257,120.530434,1.5,17,22,61.68,0.3,1.5,MH,27.5
15.512619,120.530559,1.5,21,30,31.11,0.3,1.5,SM,32.5
15.482223,120.618998,1.5,20,8,52,0.37,6,ML,20
15.478732,120.612065,1.5,21,33,58,0.37,3,ML,55
15.465571,120.56082,1.5,23,100,0,0.4,2,Coring,6000
15.506958,120.582855,1.5,19,5,64.8,0.3,3,MH,10.5
15.506284,120.581837,1.5,19,3,62.33,0.3,1.5,MH,5.25
15.505427,120.581811,1.5,18,7,63.74,0.3,3,MH,10.5
15.4589611,120.563484,1.5,23,100,0,0.4,3,Coring,6000
15.4446,120.598586,1.5,19,5,3.2,0.4,2.5,SP,13.5
15.460898,120.57104,1.5,15.67,10,53,0.42,100,ML,20
15.460948,120.571038,1.5,15.67,13,93,0.42,100,MH,20
15.439278,120.1588021,1.5,21,64,20,0.36,9,SM,65
15.473513,120.586521,1.5,20,13,32,0.42,3,SM,32.5
15.473617,120.586585,1.5,19,9,22,0.42,3,SM,13.5
15.50401,120.545443,1.5,15.7,10,52,0.42,100,SM,13.5
15.500177,120.578478,1.5,21,17,54,0.42,4.2,ML,27.5
15.500281,120.578607,1.5,21,18,51,0.42,4.2,ML,27.5
15.461005,120.628472,1.5,18.8,69,25,0.3,3,SM,65
15.514846,120.595286,1.5,23,100,0,0.2,2,Silty Tuff,6000
15.471258,120.62191,1.5,23,100,0,0.42,10,Sandtone,6000
15.471257,120.621935,1.5,21,60,57,0.42,11,ML,55
15.47107,120.621805,1.5,21,57,54,0.42,11,ML,55
15.471258,120.62191,1.5,23,100,0,0.42,10.5,Sandstone,6000
15.470799,120.621795,1.5,23,100,0,0.42,10,Sandstone,6000
15.47079,120.62194,1.5,23,100,0,0.42,11,Sandstone,6000
15.452293,120.604534,1.5,20,14,67.3,0.36,3,MH,20
15.405077,120.523147,1.5,24.2,11,23.6,0.4,100,SM,32.5
15.404488,120.52111,1.5,21,9,22.5,0.4,100,SM,13.5
15.350556,120.5733333,1.5,20,13,62.4,0.4,100,MH,20
15.35027778,120.5733333,1.5,21,15,55.43,0.4,100,MH,27.5
15.663855,120.640629,1.5,20,17,30.8,0.4,3,SM,32.5
15.636466,120.678522,1.5,23,100,0,0.4,5,Gravel,650
15.636579,120.67891,1.5,20,10,60.09,0.4,6,MH,20
15.636575,120.678641,1.5,21,16,65.13,0.4,100,MH,27.5
15.350654,120.4597661,1.5,20,18,32.63,0.45,8.5,SM,32.5
15.3505555,120.4594444,1.5,20,20,30.25,0.45,8.5,SM,32.5
15.3508333,120.4596333,1.5,20,13,30.6,0.45,8.5,SM,32.5
15.3507366,120.4596797,1.5,20,18,33.75,0.45,8.5,SM,32.5
15.3596706,120.5295569,1.5,20,14,55.4,0.4,1.5,ML,20
15.3596141,120.5296142,1.5,20,11,54.5,0.4,1.5,ML,20
15.3170505,120.5445324,1.5,20,8,65.23,0.4,9,MH,20
15.317026,120.5444387,1.5,20,11,66.71,0.4,12,MH,20
15.3169582,120.5443456,1.5,20,9,63.64,0.4,9,MH,20
15.3576096,120.5307234,1.5,19.5,5,84.31,0.4,7.5,CH,10.5
15.3576708,120.5305979,1.5,21,15,88.3,0.4,7.5,CH,27.5
15.3575746,120.5304976,1.5,19.5,5,86.17,0.4,7.5,CH,10.5
15.360509,120.5299422,1.5,20,11,25.42,0.4,9.3,SM,32.5
15.3606868,120.5302883,1.5,20,11,81.28,0.4,9.5,CH,20
15.3604388,120.53002,1.5,20,10,54.75,0.4,9.5,ML,20
15.3605854,120.5301752,1.5,20,12,21.41,0.4,9.3,SM,32.5
15.3589515,120.5297841,1.5,20,10,58.09,0.4,3,ML,20
15.3589267,120.5296187,1.5,20,11,54.5,0.4,1.5,ML,20
15.3502499,120.4587197,1.5,20,20,34.2,0.45,1.05,SM,32.5
15.3502834,120.4589033,1.5,20,22,30.17,0.45,1.05,SM,32.5
15.3504817,120.4589928,1.5,20,24,14.69,0.45,1.05,SM,32.5
15.359346,120.5292768,1.5,19.5,7,85.45,0.4,7.5,CH,10.5
15.3591204,120.5295204,1.5,19.5,6,82.12,0.4,7.5,CH,10.5
15.3585559,120.5361853,1.5,19.5,6,58.67,0.4,100,ML,10.5
15.3588452,120.5360233,1.5,20,8,57.71,0.4,100,ML,20
15.311507,120.525509,1.5,21,40,56.87,0.4,100,ML,55
15.311605,120.525277,1.5,21,46,59.98,0.4,100,ML,55
15.311683,120.525076,1.5,21,46,55.13,0.4,100,ML,55
15.367389,120.491501,1.5,21,15,66.8,0.45,7.5,MH,27.5
15.368729,120.490337,1.5,20,12,65.97,0.45,7.5,MH,20
15.368404,120.491331,1.5,20,12,64.68,0.45,7.5,MH,20
15.32775,120.591127,1.5,20,25,30.19,0.4,3,SM,32.5
15.327568,120.590818,1.5,20,22,24.15,0.4,3,SM,32.5
15.327553,120.591062,1.5,21,41,21.97,0.4,6,SM,35
15.327533,120.591042,1.5,20,25,23.95,0.4,3,SM,32.5
15.3360374,120.6249407,1.5,20,9,84.11,0.36,1.05,CH,20
15.335743,120.6249792,1.5,20,12,82.46,0.36,1.05,CH,20
15.3032316,120.6952735,1.5,19,6,3.88,0.33,4.05,SP,13.5
15.3030271,120.695197,1.5,19,8,3.24,0.33,4.05,SP,13.5
15.3360188,120.658229,1.5,20,15,21.4,0.4,100,SM,32.5
15.3358829,120.6581489,1.5,20,15,22.87,0.4,100,SM,32.5
15.3358237,120.6583001,1.5,20,16,23.88,0.4,100,SM,32.5
15.3246303,120.6566815,1.5,18,4,20.45,0.36,1,SM,4
15.3241186,120.6565847,1.5,19,5,21.3,0.36,1,SM,13.5
15.326433,120.6543302,1.5,20,13,23.82,0.36,1,SM,32.5
15.3264609,120.6545474,1.5,20,13,19.25,0.36,1,SM,32.5
15.325277,120.653888,1.5,20,16,30.16,0.36,100,SM,32.5
15.325833,120.653611,1.5,20,11,21.13,0.36,100,SM,32.5
15.325833,120.654166,1.5,20,11,33.32,0.36,100,SM,32.5
15.27346,120.56187,1.5,18.15,17,84.5,0.4,100,CH,4
15.686632,120.412972,1.5,17,18,65.1,0.4,4.5,MH,15
15.686638,120.41313,1.5,17.1,16,65.2,0.4,5,MH,15
15.686652,120.412968,1.5,20,11,67.1,0.4,6,MH,20
15.686296,120.412971,1.5,20,10,63.8,0.4,7,MH,20
15.686062,120.412563,1.5,23,100,0,0.4,7,ROCK,650
15.743831,120.443005,1.5,23,25,57.4,0.3,100,ML,300
15.743915,120.443051,1.5,23,24,55.2,0.3,100,ML,300
15.745085,120.576019,1.5,20,11,55,0.3,2,ML,20
15.744907,120.576261,1.5,20,13,52,0.3,2,ML,20
15.769692,120.575525,1.5,20,14,51.2,0.3,1,ML,20
15.808724,120.571566,1.5,20,15,56.2,0.3,1,ML,20
15.808848,120.571571,1.5,20,13,53.1,0.3,1,ML,20
15.737812,120.577325,1.5,20,9,55.59,0.3,6,ML,20
15.737879,120.577483,1.5,20,11,54.18,0.3,6,ML,20
15.74407,120.597089,1.5,17,28,62.23,0.3,100,MH,15
15.625795,120.650289,1.5,20,16,34.43,0.3,6,SM,15
15.625836,120.650662,1.5,20,17,27.42,0.3,6,SM,15
15.666889,120.642879,1.5,17,6,63.34,0.3,1,MH,8
15.684023,120.639705,1.5,17,13,65.52,0.3,21,MH,12
15.685089,120.637294,1.5,19.7,9,22.27,0.4,1,SM,10
15.786314,120.605458,1.5,18,8,53.1,0.3,3.5,ML,10
15.798112,120.611316,1.5,18,26,55.9,0.4,100,ML,15
15.798144,120.611495,1.5,18,23,54.9,0.4,100,ML,15
15.7854,120.613728,1.5,20,7,33.44,0.3,5,SM,10
15.785383,120.613613,1.5,21,8,22.07,0.3,3,SM,10
15.78522,120.613398,1.5,20,6,32.84,0.3,3,SM,5
15.797873,120.60978,1.5,20.4,17,31.95,0.4,0.4,SM,15
15.799033,120.611473,1.5,19.6,15,33.74,0.4,1.1,SM,15
15.535479,120.689187,1.5,20,5,33.44,0.3,6,SM,5
15.535636,120.689206,1.5,21,6,18.21,0.3,6,SM,5
15.597176,120.664616,1.5,18,11,53.69,0.3,3,ML,10
15.589208,120.698247,1.5,18,6,57.32,0.4,1.1,ML,12
15.596175,120.698729,1.5,18,13,53.1,0.4,3,ML,12
15.558353,120.689713,1.5,17,11,65.4,0.3,1.5,MH,10
15.558274,120.68961,1.5,17,16,64.4,0.3,1.5,MH,10
15.543797,120.681065,1.5,21,13,26.81,0.3,6,SM,10
15.543676,120.681087,1.5,19,13,23.3,0.3,6,SM,10
15.645886,120.388381,1.5,20,27,29.99,0.4,4,SC,30
15.715506,120.623904,1.5,18,8,0.2854,0.4,28.5,SM,4000
15.759537,120.600182,1.5,17,9,0.8409,0.3,1.5,CH,13
15.635408,120.624588,1.5,21,21,0.269,0.3,7.5,SM,15
15.555718,120.600598,1.5,18,7,0.568,0.3,3,ML,10
15.592509,120.620622,1.5,18,17,0.565,0.3,3,ML,12
15.59251,120.620552,1.5,20,14,0.219,0.3,3,SM,15
15.556476,120.573764,1.5,19,12,0.256,0.3,100,SM,10
15.556501,120.573845,1.5,19,12,0.231,0.3,100,SM,10
15.578761,120.573483,1.5,21,26,0.3,0.3,4.5,SM,15
15.600169,120.544751,1.5,17,24,0.679,0.3,100,MH,15
15.600168,120.544618,1.5,17,22,0.672,0.3,100,MH,15
15.589244,120.597051,1.5,20,21,0.288,0.3,2.5,SM,15
15.58917,120.597011,1.5,20,14,0.297,0.3,2.5,SM,15
15.620661,120.500156,1.5,19,35,0.544,0.3,3,ML,15
15.620647,120.500056,1.5,18,30,0.521,0.3,2.37,ML,15
15.598293,120.517626,1.5,18,56,0.57,0.3,12,ML,20
15.555633,120.608133,1.5,17,12,0.85,0.3,2,CH,25
15.55565,120.608052,1.5,17,11,0.84,0.3,2,CH,13
15.596727,120.608189,1.5,23,100,0,0.3,1.5,ROCK,6000
15.572991,120.551964,1.5,23,100,0,0.4,10,ROCK,650
15.573001,120.551884,1.5,23,100,0,0.4,10.5,ROCK,650
15.602593,120.593001,1.5,20,21,0.25,0.3,4.5,SM,15
15.645909,120.52908,1.5,19.2,35,0.24,0.4,6,SM,20
15.66474,120.555608,1.5,20,8,0.237,0.3,2,SM,10
15.664765,120.55554,1.5,19,9,0.236,0.3,2,SM,10
15.636114,120.543763,1.5,20,15,0.65,0.3,3,MH,10
15.636527,120.543634,1.5,19,2,0.649,0.3,3,MH,3750
15.691076,120.55347,1.5,21,9,0.26,0.3,3,SM,10
15.677637,120.58916,1.5,21,17,0.667,0.3,3,MH,1500
15.677583,120.589097,1.5,20,10,0.649,0.3,3,MH,10
15.677111,120.480166,1.5,21,46,0.618,0.4,1.05,MH,30
15.677082,120.480209,1.5,21,50,0.637,0.4,1.05,MH,30
15.634223,120.517015,1.5,23,100,0,0.4,6.1,ROCK,2000
15.668819,120.584161,1.5,19.093,6,0.5,0.5,1,SC,13.5
15.669577,120.580887,1.5,19.093,5,0.6606,0.5,1,SC,13.5
15.669652,120.580584,1.5,21.726,2,0.4624,0.5,1,SC,35
15.62325,120.371596,1.5,23,100,0,0.4,7.5,ROCK,2000
15.625251,120.378636,1.5,23,100,0,0.4,100,ROCK,2000
15.625081,120.378554,1.5,23,100,0,0.4,100,ROCK,2000
15.646295,120.392319,1.5,23,100,0,0.4,9,ROCK,650
15.684619,120.633292,1.5,16.7,4,64.6,0.4,4,MH,8
15.586626,120.699743,1.5,18,14,53.1,0.3,4.5,ML,12
15.7270818,120.3585672,1.5,20,16,97,0.4,0.01,CH,27.5
15.368379,120.505943,1.5,23,100,0,0.4,6,ROCK,6000
15.3368218,120.505972,1.5,20,14,22.3,0.4,9,SM,32.5
15.368155,120.505985,1.5,20,19,29.31,0.4,9,SM,32.5
15.345582,120.592561,1.5,19,9,11.37,0.4,2.5,SM,13.5
15.345923,120.592566,1.5,20,11,33.46,0.4,2.5,SM,32.5
15.345885,120.592252,1.5,20,20,31.34,0.4,2.9,SM,32.5
15.3493346,120.5740834,1.5,19.5,7,64.08,0.4,1.5,CH,10.5
15.3493432,120.5740782,1.5,19.5,4,63.55,0.4,1.5,CH,10.5
15.3604846,120.5304394,1.5,20,11,25.42,0.4,9.3,SM,32.5
15.3604923,120.5304318,1.5,20,11,81.28,0.4,9.5,CH,20
15.3604639,120.5304378,1.5,20,10,54.75,0.4,9.5,ML,20
15.3604936,120.5304873,1.5,20,12,21.41,0.4,9.3,SM,32.5
15.311507,120.525509,1.5,21,40,59.98,0.4,100,ML,55
15.311605,120.525277,1.5,21,46,55.13,0.4,100,ML,55
15.368374,120.505995,1.5,23,100,0,0.45,6,ROCK,650
15.368238,120.505962,1.5,23,14,22.3,0.45,9,SM,32.5
15.368155,120.505985,1.5,20,19,29.31,0.45,9,SM,32.5
15.336751,120.592007,1.5,21,17,64.14,0.4,6,MH,27.5
15.336912,120.592032,1.5,21,17,61.41,0.4,6,MH,27.5
15.337439,120.589244,1.5,21,18,63.01,0.4,6,MH,27.5
15.35055556,120.5733333,1.5,20,13,62.4,0.4,100,MH,20
15.35055666,120.5734335,1.5,21,15,55.43,0.4,100,MH,27.5
15.35055757,120.5735496,1.5,21,17,62.45,0.4,100,MH,27.5
15.37828,120.50819,1.5,20,13,39.17,0.4,8.5,SM,32.5
15.378975,120.508226,1.5,20,15,33.06,0.4,8.6,SM,32.5
15.378334,120.508301,1.5,20,18,15.71,0.4,9,SM,32.5
15.378269,120.508313,1.5,20,14,34.13,0.4,8.5,SM,32.5
15.378308,120.508307,1.5,20,20,37.09,0.4,9.1,SM,32.5
15.3505296,120.5701649,1.5,20,14,25.73,0.4,6,SM,32.5
15.332215,120.5908914,1.5,21,16,53.44,0.36,3,ML,27.5
15.33229444,120.5909653,1.5,21,16,52.32,0.36,3,ML,27.5
15.32917361,120.5899628,1.5,21,16,53.44,0.36,3,ML,27.5
15.32917432,120.5899736,1.5,21,15,52.92,0.36,3,ML,27.5
15.3575853,120.530428,1.5,19.5,5,84.01,0.4,9,CH,10.5
15.3575962,120.5304292,1.5,19.5,6,86.3,0.4,9,CH,10.5
15.3575763,120.5304292,1.5,19.5,7,83.43,0.4,9,CH,10.5
15.468587,120.443263,1.5,23,100,0,0.47,8,ROCK,650
15.468598,120.442912,1.5,23,100,0,0.47,7.5,ROCK,6000
15.616506,120.434783,1.5,23,100,0,0.47,6,ROCK,650
15.616441,120.434581,1.5,23,100,0,0.47,6,ROCK,55
15.470214,120.383233,1.5,21,72,65.62,0.48,6,MH,27.5
15.817066,120.611691,1.5,19,7,85,0.47,3,CL,6
15.817149,120.611651,1.5,21,20,80,0.47,3,ML,27.5
15.6254782,120.287526,1.5,20,17.12,14,0.346,3.46,SM,32.5
15.279038,120.568952,3,21,16,54.78,0.4,9,ML,27.5
15.279238,120.568983,3,21,16,54.23,0.4,9,ML,27.5
15.279348,120.56922,3,21,19,55.2,0.4,9,ML,27.5
15.279277,120.56927,3,21,15,58.86,0.4,9,ML,27.5
15.322512,120.596153,3,20,16,20.78,0.35,3,SM,32.5
15.322431,120.596132,3,20,18,21.2,0.35,3,SM,32.5
15.322557,120.596316,3,21,19,26.54,0.35,3,ML,27.5
15.322509,120.596224,3,21,21,25.61,0.35,3,ML,27.5
15.279931,120.569317,3,20,14,3,0.4,6,SP,32.5
15.279822,120.569431,3,20,17,4.75,0.4,6,SP,32.5
15.280222,120.569403,3,20,15,2.45,0.4,6,SP,32.5
15.2794012,120.567799,3,20,16,2.2,0.4,6,SP,32.5
15.277817,120.5210103,3,20,14,22.3,0.4,9.5,SM,32.5
15.277935,120.521199,3,21,16,80.79,0.4,9.5,CH,27.5
15.277791,120.521274,3,20,17,35.5,0.4,9.5,SC-SM,20
15.277908,120.521475,3,20,19,48.35,0.4,9.5,SC,20
15.265678,120.557086,3,20,14,83.45,0.4,1,CH,20
15.265469,120.557034,3,21,16,84.2,0.4,1,CH,27.5
15.278801,120.521966,3,21,17,86.36,0.4,2,CH,27.5
15.278521,120.521958,3,21,18,86.22,0.4,2,CH,27.5
15.412247,120.6778943,3,21,32,55.92,0.35,3,ML,55
15.412208,120.6779764,3,21,34,51.57,0.35,3,ML,55
15.412146,120.6780798,3,21,36,57.19,0.35,3,ML,55
15.399089,120.718261,3,21,24,65.98,0.34,3,MH,27.5
15.399174,120.718278,3,21,32,64.01,0.34,3,MH,55
15.278117,120.520837,3,21,15,64.93,0.4,3,MH,27.5
15.277977,120.520838,3,21,18,80.98,0.4,3,CH,27.5
15.331346,120.636432,3,20,24,21.8,0.36,3,SM,32.5
15.331116,120.636551,3,21,26,53.53,0.36,3,ML,27.5
15.331107,120.636745,3,20,10,50.61,0.36,3,ML,20
15.331209,120.636648,3,20,10,52.39,0.36,3,ML,20
15.3504006,120.4602369,3,21,26,27.77,0.44,8.5,SM,32.5
15.350654,120.4597661,3,21,20,30.23,0.44,8.5,SM,32.5
15.35074833,120.4596344,3,21,18,30.47,0.44,8.5,SM,32.5
15.35073667,120.4596797,3,21,27,30.52,0.44,8.5,SM,32.5
15.354686,120.446385,3,20.1,14,22.36,0.48,4,SM,32.5
15.3578,120.53076,3,20,8,87.25,0.4,7.5,CH,20
15.35779,120.53053,3,20,7,83.42,0.4,7.5,CH,10.5
15.35771,120.5304,3,20,12,87.47,0.4,7.5,CH,20
15.3577,120.53029,3,21,11,83.21,0.4,7.5,CH,20
15.348322,120.471861,3,20,15,3,0.44,5,SP,32.5
15.347915,120.472292,3,20,16,2.6,0.44,3,SP,32.5
15.347612,120.472865,3,21,16,2.7,0.44,4.5,SP,32.5
15.377822,120.467915,3,19.8,8,25.75,0.45,4,SM,13.5
15.33255,120.591192,3,21,27,63.96,0.4,3,MH,27.5
15.33235,120.591202,3,20,28,66.99,0.4,3,MH,27.5
15.329174,120.539963,3,21,27,63.29,0.4,3,MH,27.5
15.332708,120.591205,3,21,20,63.25,0.4,3,MH,27.5
15.404695,120.517583,3,21.9,26,2.42,0.4,3,SP,32.5
15.337582,120.438447,3,21.3,1,3.56,0.45,100,SP,4
15.338506,120.439017,3,20.9,22,4.11,0.45,0.5,SP,32.5
15.377932,120.46811,3,22.4,14,3.08,0.41,3,SP,32.5
15.376099,120.465189,3,21.2,10,3.78,0.41,3,SP,13.5
15.403506,120.535484,3,21,10,20.99,0.4,1,SM,13.5
15.401833,120.537011,3,21,10,22.51,0.4,1,SM,13.5
15.35027778,120.5733333,3,21,20,51.29,0.4,100,ML,27.5
15.324878,120.421894,3,20,23,26.1,0.03,3,SM,32.5
15.409628,120.531149,3,18,4,27.4,0.4,0.6,SM,4
15.408638,120.533869,3,19,7,24.7,0.4,0.6,SM,13.5
15.406295,120.536085,3,19,10,4.7,0.4,1,SP,13.5
15.37835,120.50901,3,23,100,0,0.4,3,ROCK,100
15.378394,120.5089,3,23,100,0,0.4,2.8,ROCK,100
15.378457,120.509039,3,23,100,0,0.4,3.2,ROCK,100
15.378411,120.509217,3,23,100,0,0.4,2.5,ROCK,100
15.378467,120.509242,3,23,100,0,0.4,2.7,ROCK,100
15.346585,120.591898,3,23,100,0,0.36,8.6,Sandstone,32.5
15.346589,120.59203,3,23,100,0,0.36,9,Sandstone,32.5
15.35940626,120.536204,3,20,14,24.56,0.4,100,SM,32.5
15.35942178,120.5361342,3,20,20,25.29,0.4,100,SM,32.5
15.35945799,120.536043,3,20,17,22.86,0.4,100,SM,32.5
15.368641,120.491331,3,18,1,67.22,0.45,7.5,MH,3.75
15.368641,120.490274,3,18,1,66.42,0.45,7.5,MH,3.75
15.368729,120.490337,3,18,1,67.77,0.45,7.5,MH,3.75
15.368404,120.491331,3,18,1,65.16,0.45,7.5,MH,3.75
15.367389,120.491501,3,18,1,64.2,0.45,7.5,MH,3.75
15.361412,120.444146,3,20,26,4,0.47,1.5,SP,32.5
15.362605,120.444932,3,20,26,5,0.47,1.5,SP,32.5
15.400328,120.538445,3,20,18,3.3,0.4,2,SP,32.5
15.327305,120.424012,3,20,19,23.6,0.45,0.61,SM,32.5
15.328152,120.424192,3,20,19,21.2,0.45,0.61,SM,32.5
15.32419,120.423641,3,20,20,23.7,0.45,3,SM,32.5
15.3432561,120.5477321,3,21,48,17.58,0.4,4.5,SM,35
15.343333,120.547777,3,21,75,17.33,0.4,7,SM,65
15.35897175,120.5291712,3,18,1,54.74,0.4,100,ML,3.75
15.35897175,120.5291229,3,18,1,55.96,0.4,100,ML,3.75
